endpoint,n,t_breadth,p_breadth
GEFOS Femoral neck,18384,11.517418813075704,1.3728117322686676e-30
GEFOS Lumbar spine,18384,12.421414115143394,2.771418372509524e-35
GEFOS Forearm,18384,2.848328178014868,0.004399836336754395
