predictor,outcome,n,beta,se,t,p
Skeletal breadth,Skeletal phenotype breadth,2813,0.07066332964746984,0.021311968828922605,3.315664085974647,0.0009258739768092253
Skeletal breadth,Brain phenotype breadth,2172,0.03551800113818341,0.03040852378815569,1.1680277998900392,0.2429239230440611
Brain breadth,Skeletal phenotype breadth,2813,0.019921290158300596,0.02952476972272439,0.6747314321292652,0.4999019191823771
Brain breadth,Brain phenotype breadth,2172,0.011773992236590489,0.038677911234656484,0.30441127405144525,0.7608437821355761
