gene,breadth,FRAK,HEEL,mendelian,panelapp,head,arms,legs,pelvis,fn,ls,gefos_fn_z
NFIB,6,1.0177,0.18643,1,0,3.9865,2.6735,3.1287,3.2654,4.3698,2.8108,0.31507
PPP1CB,6,0.97379,7.6941,1,0,2.1984,3.2563,2.6715,2.0773,3.2683,2.4459,2.3467
SNX24,6,0.90245,2.7518,0,0,2.9133,2.6108,3.2468,4.1734,3.1627,3.6016,2.7543
COLEC10,6,0.80782,6.5055,1,0,6.5071,5.9541,6.0873,6.268,5.2974,5.8231,6.398
EIF2B2,6,0.75042,6.9929,0,0,2.9874,3.0951,2.6076,3.9492,2.1944,2.0651,2.0955
SPP1,6,0.68007,7.7923,0,0,6.9137,2.7184,3.2169,5.5078,2.9943,5.657,2.0607
LZTS3,6,0.64925,1.4952,0,0,2.0956,3.1313,2.185,2.1102,2.1944,2.6918,-0.26574
CSNK1G3,6,0.54742,7.3276,0,0,7.4679,4.5868,6.2035,5.0217,4.3293,4.1467,1.5027
PPIC,6,0.49154,2.0977,0,0,2.1905,2.8368,3.1652,3.8222,3.6267,3.3024,3.3441
NR1H4,6,0.42796,0.69883,0,0,2.8809,2.9415,2.3152,2.5244,3.0312,2.755,0.12534
SEMA3D,6,0.39607,3.3496,0,0,2.053,2.9901,2.8746,3.4343,2.2889,2.3045,0.30647
TRIM42,6,0.38889,0.40901,0,0,2.2914,2.8847,3.8737,3.6901,2.3331,2.2293,1.5687
HIST1H2BA,6,0.36426,6.2756,0,0,2.4382,2.4129,3.6417,4.684,3.5836,5.0953,0.54553
TNFRSF11B,6,0.26759,7.2425,1,1,7.3677,7.3967,7.5969,7.569,6.8444,6.943,6.6218
TANGO6,6,0.17845,2.3847,0,0,2.5511,3.4195,2.17,3.2921,2.5538,2.2588,-0.039866
CASR,6,0.029345,1.2591,1,1,2.3566,3.6653,2.681,3.0144,2.5074,3.8421,2.4471
MARC1,6,-0.11138,2.27,0,0,2.1744,4.8944,4.2017,3.766,3.4422,3.5515,0.73223
ZNF592,6,-0.20017,3.8045,1,0,2.9,2.8518,4.2735,3.7927,2.327,2.4138,1.6092
PGF,6,-0.28167,7.2508,0,0,3.4671,3.6617,3.5148,4.3445,2.849,2.2823,1.4786
ALPK3,6,-0.32627,3.5102,1,0,3.1798,3.1291,4.2996,4.2951,2.6789,2.8803,1.5806
C20orf194,6,-0.3866,2.6186,0,0,3.0576,2.2227,2.0935,2.2629,3.1561,3.1463,0.56528
SLC4A11,6,-0.41963,2.3742,0,0,3.0265,2.1123,2.2773,2.1379,3.2321,3.0279,0.22001
DTNBP1,6,-0.69326,2.6255,0,0,2.1445,2.3989,2.6672,2.9517,3.5375,2.0148,0.078299
COL4A2,6,-0.71303,2.5352,0,0,2.324,3.983,3.9792,4.2514,4.4523,3.4665,1.4413
POM121L2,6,-0.73142,4.1407,0,0,3.104,3.0912,3.4303,4.1051,3.3422,4.7563,-0.87168
GALNT3,6,-0.74424,2.338,1,1,4.2295,3.5686,4.1116,4.5484,2.6738,4.7703,5.8326
SLC30A10,6,-0.83008,6.1094,1,0,5.0481,3.2684,4.3958,4.4038,3.5886,3.9954,2.0858
CSRNP3,6,-0.90381,2.9988,0,0,3.8438,4.5139,5.0175,5.6976,2.3686,5.5704,4.9386
MCC,6,-1.2168,2.2229,0,0,2.182,3.9609,2.4726,4.6265,3.4533,3.903,0.53444
NAGK,6,-1.5735,1.5145,0,0,2.3847,2.0131,2.2081,2.2734,2.6862,2.9557,-0.62292
