breadth,n_genes,median_z,frac_z_gt2,frac_z_gt4
0,14242,0.22132,0.05350372138744559,0.0007723634321022329
1,2284,0.43683,0.0915061295971979,0.003064798598949212
2,833,0.61844,0.12004801920768307,0.02040816326530612
3,460,0.64408,0.13478260869565217,0.02608695652173913
4,264,0.51294,0.15151515151515152,0.015151515151515152
5,206,0.7988850000000001,0.24271844660194175,0.0825242718446602
6,103,2.329,0.5339805825242718,0.23300970873786409
