merge_distance_kb,n_loci,n_core_loci,odds_ratio,ci_low,ci_high,p
0,16521,98,2.452024455717054,1.6086853706026891,3.737476601270999,8.054811538282038e-05
100,2840,55,4.616267223382046,2.450102825114349,8.697562755014916,1.4586956246326518e-07
250,1321,51,8.706628379995214,3.290583920663067,23.037059553874855,1.084793276871506e-08
500,688,44,15.272189349112427,2.9750633264400546,78.39825305306579,3.948902265611869e-07
1000,311,42,29.463840399002496,1.789132744981499,485.2171497575875,1.1017350402798252e-05
