threshold,source,n_core,odds_ratio,ci_low,ci_high,p
2.0,PanelApp,103,5.48330056320192,2.9476397645751278,10.200223727387625,2.1434981486375787e-05
2.0,HPO,103,2.5343585050577677,1.6708534126806545,3.844127188784243,4.13006646514891e-05
2.0,ClinVar,103,4.624831426458433,2.594919626986901,8.242669830970266,2.281184919754605e-05
2.5,PanelApp,51,7.3805408075071,3.383855105107589,16.097729045506995,0.0001412539831897646
2.5,HPO,51,3.338164251207729,1.9013126113728402,5.860867119581784,0.00010397828652123596
2.5,ClinVar,51,5.184444768714431,2.381146061628425,11.288038139696777,0.0010810783055308143
3.0,PanelApp,33,6.6369799691833595,2.449643776563014,17.982003560185003,0.00628413858939127
3.0,HPO,33,4.133105270629829,2.09211390757315,8.16521467414928,0.00016949929107291963
3.0,ClinVar,33,5.921181296641085,2.3677977842864677,14.80717153312887,0.0036063743003441283
3.5,PanelApp,18,13.5141065830721,4.672004890209878,39.09051489251084,0.000613749304929999
3.5,HPO,18,8.520190306274161,3.392723751358874,21.396862278000835,1.1737872859755961e-05
3.5,ClinVar,18,12.510817115648868,4.625877767035291,33.835858356786225,0.00019280645976276105
4.0,PanelApp,14,8.668033775633294,2.2215992508186964,33.82014533351644,0.03881172023635704
4.0,HPO,14,9.592230019935494,3.3535403531697314,27.436937405087125,4.34582784519541e-05
4.0,ClinVar,14,9.314927660847134,2.8073867784056215,30.906990798073256,0.008925917948772786
