layer,n_genes,observed_peaks_per_element,expected,sd,z,p
Shared layer,103,13.157766990291263,11.112590533980583,0.5536490152339343,3.693994570633396,0.0002207585169494798
Site-specific layer,36,11.57986111111111,11.345973611111111,0.9551527290029372,0.24486921609295906,0.8065576981532829
