breadth,n_genes,mean_regions,sem,frac_generalised
0,2056,2.7115758754863815,0.035624149005557805,0.313715953307393
1,388,2.788659793814433,0.08268830935016494,0.3324742268041237
2,140,2.6285714285714286,0.13538527761901253,0.2857142857142857
3,84,3.0,0.17682739849438012,0.38095238095238093
4,48,2.8333333333333335,0.23881603155298003,0.3333333333333333
5,41,3.5365853658536586,0.2707207204977875,0.4634146341463415
6,32,3.375,0.33825334082702735,0.53125
